,date,symbol,close,volume
0,2010-01-04,AAPL,214.009998,123432400.0
1,2010-01-04,ABT,54.459951,10829000.0
2,2010-01-04,AIG,29.889999,7750900.0
3,2010-01-04,AMAT,14.3,18615100.0
4,2010-01-04,ARNC,16.650013,11512100.0
5,2010-01-04,BAC,15.69,180845200.0
6,2010-01-04,BSX,9.01,14332300.0
7,2010-01-04,C,3.4,40679300.0
8,2010-01-04,CHK,28.090001,31146800.0
9,2010-01-04,CMCSA,16.969998999999998,13573400.0
10,2010-01-04,CSCO,24.690001,59853700.0
11,2010-01-04,DAL,11.22,14482500.0
12,2010-01-04,EBAY,23.9,22511600.0
13,2010-01-04,F,10.28,60855800.0
14,2010-01-04,FCX,83.459999,18082400.0
15,2010-01-04,FITB,10.12,15429100.0
16,2010-01-04,FOXA,13.929995000000002,16512700.0
17,2010-01-04,FTR,7.96,4030400.0
18,2010-01-04,GE,15.45,67079900.0
19,2010-01-04,GILD,43.299999,16809000.0
20,2010-01-04,GLW,19.559999,16539100.0
21,2010-01-04,HAL,31.25,11571600.0
22,2010-01-04,HBAN,3.68,10462800.0
23,2010-01-04,HPQ,52.449999,27957400.0
24,2010-01-04,INTC,20.879999,47800900.0
25,2010-01-04,JPM,42.849998,35460500.0
26,2010-01-04,KEY,5.94,14901600.0
27,2010-01-04,KO,57.040001,13870400.0
28,2010-01-04,MRK,37.009998,13896500.0
29,2010-01-04,MRO,32.11007,9214200.0
30,2010-01-04,MSFT,30.950001,38409100.0
31,2010-01-04,MU,10.85,34412700.0
32,2010-01-04,NFLX,53.479999,17239600.0
33,2010-01-04,NVDA,18.49,20005100.0
34,2010-01-04,ORCL,24.85,26795000.0
35,2010-01-04,PFE,18.93,52086000.0
36,2010-01-04,QCOM,46.939999,14570200.0
37,2010-01-04,RF,5.42,11754800.0
38,2010-01-04,SBUX,23.049999,16370000.0
39,2010-01-04,T,28.58,29136600.0
40,2010-01-04,V,88.139999,20180000.0
41,2010-01-04,VZ,33.279869,16176600.0
42,2010-01-04,WFC,27.32,39335700.0
43,2010-01-04,XOM,69.150002,27809100.0
44,2010-01-04,XRX,8.63,13472700.0
45,2010-01-04,YHOO,17.1,16587400.0
46,2010-01-05,AAPL,214.379993,150476200.0
47,2010-01-05,ABT,54.019953,10562100.0
48,2010-01-05,AIG,29.33,8920500.0
49,2010-01-05,AMAT,14.19,15173200.0
50,2010-01-05,ARNC,16.130013,22201000.0
51,2010-01-05,BAC,16.200001,209521300.0
52,2010-01-05,BSX,9.04,8594200.0
53,2010-01-05,C,3.53,66861700.0
54,2010-01-05,CHK,28.970002,28692600.0
55,2010-01-05,CMCSA,16.74,17746500.0
56,2010-01-05,CSCO,24.58,45124500.0
57,2010-01-05,DAL,12.1,25066000.0
58,2010-01-05,EBAY,23.65,26683100.0
59,2010-01-05,F,10.96,215620200.0
